cid,time,compile,vmlinux,GZIP-bzImage,GZIP-vmlinux,GZIP,BZIP2-bzImage,BZIP2-vmlinux,BZIP2,LZMA-bzImage,LZMA-vmlinux,LZMA,XZ-bzImage,XZ-vmlinux,XZ,LZO-bzImage,LZO-vmlinux,LZO,LZ4-bzImage,LZ4-vmlinux,LZ4
55231,166.926,True,23415752,4044240,6129112,3894523,8078800,10163112,3811048,3290576,5374928,3152310,3073488,5158264,2927924,4474320,6558584,4339890,4793808,6878384,4645420
55230,336.115,True,48308352,13678032,15762904,13530456,17380816,19465128,13113847,11101648,13186000,10963615,9098704,11183480,8953128,14976464,17060728,14839318,15963600,18048176,15815651
55229,343.601,True,78650696,8790992,10876024,8644888,12809168,14893648,8543175,6964176,9048688,6826455,6067152,8152096,5924040,9716688,11801112,9581311,10539984,12624728,10392921
55228,345.429,True,22019008,4935632,7021696,4789075,8904656,10990160,4640983,4022224,6107760,3887874,3731408,5817376,3589412,5414864,7500312,5281429,5783504,7869272,5638012
55227,360.089,True,84385280,11423696,13510096,11275276,15151056,17236904,10886547,9289680,11375568,9154492,8728528,10814840,8584048,12500944,14586744,12366869,13291472,15377584,13145620
55226,301.546,True,20370096,5395408,7480440,5251292,9372624,11457104,5111054,4400080,6484592,4266568,4096976,6181920,3954380,5948368,8032792,5814050,6357968,8442712,6213334
55225,450.054,True,57035544,14422992,16508368,14274739,18006992,20091816,13742727,11797456,13882320,11659634,11224016,13309304,11076444,15717328,17802104,15583866,16675792,18760880,16529342
55224,526.531,True,57286504,10515920,12602064,10304183,14583248,16668840,10254725,8447440,10533072,8244211,6858192,8944248,6649772,11744720,13830264,11546355,12654032,14739888,12443424
55223,324.582,True,43702528,12423120,14509176,12277560,15994832,18080336,11731818,10088400,12173936,9955950,9514960,11600928,9370268,13586384,15671832,13453992,14393296,16479064,14248022
55222,310.617,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
55221,316.507,True,37276888,11276752,13362640,11128852,14995920,17081256,10731074,9085392,11170768,8947968,8540624,10626424,8397112,12349904,14435192,12215692,13115856,15201456,12969281
55220,189.14,True,398026536,5796816,7883640,5584558,9913296,11999568,5583952,4719568,6805872,4518500,4506576,6593304,4295092,6530000,8616216,6329563,7033808,9120344,6822404
55219,178.158,True,24539336,7349712,9434584,7202894,11281872,13366184,7015944,6047184,8131536,5909468,4941264,7026040,4793308,8021456,10105720,7887049,8545744,10630320,8397947
55218,376.1,True,17100720,4846544,6931920,4696701,8827856,10912680,4560513,4047824,6132688,3911418,3871696,5956984,3723104,5247952,7332728,5113165,5571536,7656624,5424165
55217,340.261,True,97678904,15946704,18033320,15744726,20653008,22739072,16333349,12194768,14280864,12005739,11731920,13818448,11530956,18580432,20666440,18393992,20530128,22616456,20326989
55216,260.963,True,44410256,9638864,11723896,9493116,13284304,15368784,9019374,7799760,9884272,7662871,7373776,9458720,7228152,10605520,12689944,10470550,11318224,13402968,11173296
55215,187.153,True,18849000,3572688,5657720,3428871,7607248,9691728,3345727,2937808,5022320,2801909,2794448,4879392,2651912,3945424,6029848,3813118,4207568,6292312,4060821
55214,512.891,True,85619928,26273232,28358096,26126004,28837328,30921640,24571470,20874704,22959056,20736820,18339280,20424056,18193088,28616144,30700408,28478752,30578128,32662704,30430024
55213,218.066,True,50399840,9646544,11733672,9445287,13648336,15734912,9331751,7852496,9939104,7660860,6459856,8546896,6259592,10707408,12793928,10519652,11481552,13568392,11279568
55212,169.831,True,22694168,6546384,8631768,6396630,10462160,12546984,6196834,5346256,7431120,5208249,5043152,7128440,4894648,7152592,9237368,7017746,7611344,9696432,7462083
55211,308.707,True,71299048,20395472,22480048,17147395,20395472,22480048,15436837,20395472,22480048,12727804,20395472,22480048,12057676,20395472,22480048,19048278,20395472,22480048,20246551
55210,289.231,True,13138880,2692048,4777080,2545966,6742992,8827472,2479952,2249680,4334192,2116230,2143184,4228128,1999972,2946000,5030424,2812620,3150800,5235544,3004343
55209,306.266,True,39409280,6091728,8177112,5943032,10048464,12133288,5780926,4944848,7029712,4807897,4608976,6694264,4461852,6722512,8807288,6587421,7197648,9282736,7049840
55208,340.512,True,31002072,5665744,7752520,5464780,9790416,11876640,5469580,4596688,6682944,4403153,4383696,6470384,4182516,6439888,8526056,6248961,6976464,9062952,6775387
55207,576.695,True,78207888,25429456,27514328,25279745,28485072,30569384,24218289,20313552,22397904,20177959,18380240,20465016,18232704,27813328,29897592,27677768,29652432,31737008,29502347
55206,400.997,True,191981432,7259920,9346608,7093407,11175696,13261832,6891125,5908240,7994408,5751777,5048080,7134680,4880440,7939856,10025936,7783338,8484624,10571024,8316435
55205,351.795,True,94174232,15959504,18045608,15759696,20104656,22190208,15786064,12887504,14973088,12695603,11081168,13167184,10879320,17974736,20060232,17785689,19412432,21498248,19208607
55204,354.884,True,27652112,5006384,7094752,4778619,9249840,11337656,4903919,4097072,6184928,3879750,3867696,5955976,3639600,5674032,7761800,5456507,6136880,8224960,5906253
