cid,date,time,vmlinux,GZIP-bzImage,GZIP-vmlinux,GZIP,BZIP2-bzImage,BZIP2-vmlinux,BZIP2,LZMA-bzImage,LZMA-vmlinux,LZMA,XZ-bzImage,XZ-vmlinux,XZ,LZO-bzImage,LZO-vmlinux,LZO,LZ4-bzImage,LZ4-vmlinux,LZ4,basic-cid,basic-date,basic-time,basic-vmlinux,basic-GZIP-bzImage,basic-GZIP-vmlinux,basic-GZIP,basic-BZIP2-bzImage,basic-BZIP2-vmlinux,basic-BZIP2,basic-LZMA-bzImage,basic-LZMA-vmlinux,basic-LZMA,basic-XZ-bzImage,basic-XZ-vmlinux,basic-XZ,basic-LZO-bzImage,basic-LZO-vmlinux,basic-LZO,basic-LZ4-bzImage,basic-LZ4-vmlinux,basic-LZ
70509,2018-06-30 09:32:26,305.603,68268736,13551152,15639128,13329289,17700400,19787824,13363277,11089456,13176912,10877742,9262640,11350528,9041504,15144496,17231864,14934695,16352816,18440504,16134447,70510,2018-06-30 09:41:52,307.816,68268760,13551152,15639128,13329405,17704496,19791920,13364272,11089456,13176912,10877227,9258544,11346432,9038040,15144496,17231864,14934613,16352816,18440504,16134692
70512,2018-06-30 09:59:49,284.143,19623800,4768720,6853760,4621789,8774608,10859088,4510758,3912656,5997168,3779368,3666896,5751840,3523152,5239760,7324184,5106236,5592016,7676760,5446880,70513,2018-06-30 10:08:10,285.152,19623800,4768720,6853760,4621788,8774608,10859088,4510724,3912656,5997168,3779291,3670992,5755936,3525276,5239760,7324184,5106236,5592016,7676760,5446880
70515,2018-06-30 10:31:31,397.304,184327392,11789776,13876040,11586871,15877584,17963296,11556292,9446864,11532608,9253335,8947152,11033328,8744308,13247952,15333608,13058441,14267856,16353832,14067506,70516,2018-06-30 10:42:25,396.71,184327392,11789776,13876040,11586871,15877584,17963296,11556372,9442768,11528512,9251165,8943056,11029232,8740616,13247952,15333608,13058440,14267856,16353832,14067506
70518,2018-06-30 11:05:28,435.7,28457440,6632400,8717784,6486808,10654672,12739496,6390703,5403600,7488464,5266483,5047248,7132536,4901328,7328720,9413496,7192931,7865296,9950384,7718192,70519,2018-06-30 11:16:47,433.824,28457440,6632400,8717784,6486745,10654672,12739496,6390674,5403600,7488464,5267610,5051344,7136632,4904956,7328720,9413496,7192931,7865296,9950384,7718192
70521,2018-06-30 11:38:03,343.565,50280096,11318736,13405000,11116124,15381968,17467680,11062374,9049552,11135296,8857451,8545744,10631920,8345656,12760528,14846184,12569646,13739472,15825448,13537076,70522,2018-06-30 11:48:27,339.46,50280096,11318736,13405000,11116124,15381968,17467680,11062357,9049552,11135296,8856204,8545744,10631920,8345300,12760528,14846184,12569645,13739472,15825448,13537073
70524,2018-06-30 12:08:58,297.176,21156888,5002192,7087224,4856632,8967120,11051600,4703322,4142032,6226544,4007293,3937232,6022176,3794184,5469136,7553560,5336781,5817296,7902040,5673521,70525,2018-06-30 12:17:46,297.783,21156888,5002192,7087224,4856623,8967120,11051600,4703859,4142032,6226544,4006503,3937232,6022176,3793604,5469136,7553560,5336780,5817296,7902040,5673520
70527,2018-06-30 12:44:02,327.877,81474784,18649552,20735448,18501917,21385680,23471016,17119358,14004688,16090064,13866925,13165008,15250808,13019928,20853200,22938488,20718064,22200784,24286384,22054745,70528,2018-06-30 12:55:19,322.393,81499400,18657744,20743640,18508464,21389776,23475112,17125398,14008784,16094160,13869846,13169104,15254904,13021984,20857296,22942584,20722802,22208976,24294576,22060605
70530,2018-06-30 13:12:36,328.368,77345280,11174864,13261688,10962542,15156176,17242448,10828753,9032656,11118960,8831534,8418256,10504992,8210380,12587984,14674200,12387202,13583312,15669848,13372223,70531,2018-06-30 13:22:24,326.811,77345280,11174864,13261688,10962542,15156176,17242448,10829043,9032656,11118960,8833362,8418256,10504992,8210036,12587984,14674200,12387200,13583312,15669848,13372221
70533,2018-06-30 13:48:09,519.695,24658616,7856080,9941848,6598084,7856080,9941848,6336726,7856080,9941848,5422491,7856080,9941848,5145256,7856080,9941848,7247901,7856080,9941848,7710752,70534,2018-06-30 13:58:17,508.875,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
70536,2018-06-30 14:14:42,209.823,23094000,4190256,6279608,3973081,8368176,10456976,4033827,3412016,5500848,3205455,3260464,5349728,3044696,4755504,6844248,4551152,5169200,7258264,4953880,70537,2018-06-30 14:21:39,209.653,23094000,4190256,6279608,3973084,8368176,10456976,4033789,3412016,5500848,3204477,3260464,5349728,3044252,4755504,6844248,4551155,5169200,7258264,4953881
