cid,date,time,vmlinux,GZIP-bzImage,GZIP-vmlinux,GZIP,BZIP2-bzImage,BZIP2-vmlinux,BZIP2,LZMA-bzImage,LZMA-vmlinux,LZMA,XZ-bzImage,XZ-vmlinux,XZ,LZO-bzImage,LZO-vmlinux,LZO,LZ4-bzImage,LZ4-vmlinux,LZ4,basic-cid,basic-date,basic-time,basic-vmlinux,basic-GZIP-bzImage,basic-GZIP-vmlinux,basic-GZIP,basic-BZIP2-bzImage,basic-BZIP2-vmlinux,basic-BZIP2,basic-LZMA-bzImage,basic-LZMA-vmlinux,basic-LZMA,basic-XZ-bzImage,basic-XZ-vmlinux,basic-XZ,basic-LZO-bzImage,basic-LZO-vmlinux,basic-LZO,basic-LZ4-bzImage,basic-LZ4-vmlinux,basic-LZ
70587,2018-06-30 22:39:43,422.947,126856688,14542288,16628552,14340660,19391952,21477664,15073249,10634704,12720448,10441879,10057168,12143344,9854820,17737168,19822824,17548005,19969488,22055464,19765809,70588,2018-06-30 22:52:24,425.044,126856664,14542288,16628552,14340987,19396048,21481760,15073466,10655184,12740928,10460681,10069456,12155632,9868484,17737168,19822824,17548181,19969488,22055464,19766239
70590,2018-06-30 23:11:40,522.256,67447976,7148816,9237312,5670321,7148816,9237312,5704592,7148816,9237312,4601807,7148816,9237312,4356624,7148816,9237312,6422068,7148816,9237312,6925525,70591,2018-06-30 23:22:29,521.169,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
70593,2018-06-30 23:44:18,599.838,35856696,8523728,10609784,8379468,12177360,14262864,7915437,6864848,8950384,6731106,5459920,7545888,5315936,9375696,11461144,9243246,10026960,12112728,9881778,70594,2018-06-30 23:58:38,600.541,35856696,8523728,10609784,8379474,12177360,14262864,7915359,6864848,8950384,6729740,5464016,7549984,5319280,9375696,11461144,9243248,10026960,12112728,9881779
70596,2018-07-01 00:19:51,428.262,64859424,18817488,20903376,18670958,21901776,23987112,17637989,14836176,16921552,14698141,12423632,14509432,12277448,20648400,22733688,20513136,22073808,24159408,21925831,70597,2018-07-01 00:31:52,423.085,64859424,18817488,20903376,18670959,21901776,23987112,17637944,14836176,16921552,14699384,12423632,14509432,12276520,20648400,22733688,20513136,22073808,24159408,21925831
70599,2018-07-01 00:47:32,213.698,30648472,4988880,7075280,4842864,8900560,10986408,4635132,4177872,6263760,4041674,4001744,6088056,3854980,5410768,7496568,5276952,5717968,7804080,5572705,70600,2018-07-01 00:54:36,214.172,30648472,4988880,7075280,4842415,8900560,10986408,4635285,4177872,6263760,4041844,4001744,6088056,3855880,5410768,7496568,5276975,5717968,7804080,5572624
70602,2018-07-01 01:15:52,295.521,263254432,9614288,11699664,9466457,13382608,15467432,9116498,7881680,9966544,7742974,7332816,9418104,7186188,10515408,12600184,10379273,11174864,13259952,11026018,70603,2018-07-01 01:26:33,295.346,263254112,9614288,11699664,9466508,13382608,15467432,9115917,7873488,9958352,7738095,7332816,9418104,7187336,10515408,12600184,10379058,11174864,13259952,11025783
70605,2018-07-01 01:43:50,242.506,42947584,10315216,12400080,10168541,13784528,15868840,9519625,8193488,10277840,8056198,6931920,9016696,6785740,11318736,13403000,11181757,12084688,14169264,11936199,70606,2018-07-01 01:51:55,240.661,42947584,10315216,12400080,10168542,13784528,15868840,9520017,8193488,10277840,8056453,6931920,9016696,6785752,11318736,13403000,11181755,12084688,14169264,11936199
70608,2018-07-01 02:12:21,358.239,30006920,8405456,10491352,8257105,12263888,14349224,7998160,6922704,9008080,6785085,5829072,7914872,5682096,9109968,11195256,8974528,9667024,11752624,9520551,70609,2018-07-01 02:22:15,358.285,30006920,8405456,10491352,8257056,12263888,14349224,7998272,6922704,9008080,6784555,5829072,7914872,5682460,9109968,11195256,8974511,9667024,11752624,9520485
70611,2018-07-01 02:41:43,457.752,29809856,7066896,9154096,6899412,10827024,12913672,6543810,5629200,7715880,5472452,4949264,7036376,4784688,7791888,9878480,7638994,8344848,10431760,8179066,70612,2018-07-01 02:53:59,458.552,29809856,7066896,9154096,6899412,10827024,12913672,6543886,5629200,7715880,5474849,4949264,7036376,4782152,7791888,9878480,7638991,8344848,10431760,8179064
70614,2018-07-01 03:08:48,399.879,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70615,2018-07-01 03:17:22,399.393,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
70617,2018-07-01 03:39:54,263.654,41195144,8652240,10736760,8505037,12379600,14463568,8116359,7062992,9146992,6928651,6653392,8737824,6510340,9446864,11530776,9314358,10028496,12112728,9882695,70618,2018-07-01 03:48:37,262.306,41195144,8652240,10736760,8505036,12379600,14463568,8116366,7062992,9146992,6929126,6653392,8737824,6510056,9446864,11530776,9314358,10028496,12112728,9882743
70620,2018-07-01 04:15:25,685.267,19635184,4838352,6923384,4694191,8868816,10953296,4604514,3953616,6038128,3818513,3761104,5846048,3616112,5309392,7393816,5175424,5669840,7754584,5525638,70621,2018-07-01 04:31:02,685.79,19635184,4838352,6923384,4694192,8868816,10953296,4604197,3953616,6038128,3818471,3757008,5841952,3615056,5309392,7393816,5175415,5669840,7754584,5525637
70623,2018-07-01 04:47:55,196.058,30533008,6782928,8868984,6640306,10674128,12759632,6412271,5398480,7484016,5265483,5029840,7115808,4887272,7495632,9581080,7362056,8003536,10089304,7857423,70624,2018-07-01 04:55:09,195.013,30533008,6782928,8868984,6640306,10674128,12759632,6412364,5398480,7484016,5265778,5029840,7115808,4886376,7495632,9581080,7362056,8003536,10089304,7857423
70626,2018-07-01 05:19:38,409.029,32680456,5882832,7969448,5681263,9958352,12044416,5638427,4821968,6908064,4629743,3986384,6072912,3787688,6554576,8640584,6366298,7062480,9148808,6860636,70627,2018-07-01 05:31:04,413.523,32680456,5882832,7969448,5681263,9958352,12044416,5638571,4821968,6908064,4629219,3990480,6077008,3790776,6554576,8640584,6366299,7062480,9148808,6860616
70629,2018-07-01 05:49:37,268.363,128257880,4051408,6136952,3904429,8069584,10154576,3805824,3346896,5431920,3212225,3219920,5305376,3076340,4424144,6509080,4291104,4706768,6792024,4561107,70630,2018-07-01 05:58:43,268.649,128257880,4051408,6136952,3904429,8069584,10154576,3805887,3346896,5431920,3212242,3219920,5305376,3076836,4424144,6509080,4291108,4706768,6792024,4561110
70632,2018-07-01 06:23:58,363.733,35885528,8557008,10642896,8410218,12108240,14193576,7840741,6906320,8991696,6768212,5992912,8078712,5846324,9363920,11449208,9229060,9961936,12047536,9815470,70633,2018-07-01 06:34:44,363.553,35885528,8557008,10642896,8410222,12108240,14193576,7840899,6906320,8991696,6767969,5992912,8078712,5847120,9363920,11449208,9229056,9961936,12047536,9815470
70635,2018-07-01 06:53:59,392.671,50388088,10638288,12723320,10493215,14058448,16142928,9795750,8209360,10293872,8073284,6771664,8856608,6624620,11776976,13861400,11642388,12514256,14599000,12368732,70636,2018-07-01 07:05:15,393.027,50388088,10638288,12723320,10493354,14058448,16142928,9796021,8205264,10289776,8070716,6767568,8852512,6624280,11776976,13861400,11642290,12514256,14599000,12368876
70638,2018-07-01 07:24:44,300.174,38688296,10524112,12608632,10376624,14157264,16241232,9892044,8529360,10613360,8392447,7861712,9946144,7715316,11478480,13562392,11345563,12195280,14279512,12048146,70639,2018-07-01 07:34:17,299.004,38688296,10524112,12608632,10376624,14157264,16241232,9892118,8525264,10609264,8390557,7861712,9946144,7717680,11478480,13562392,11345561,12195280,14279512,12048144
70641,2018-07-01 08:05:03,763.191,28263672,7259088,9344464,7111944,10847184,12932008,6581909,5784528,7869392,5649181,5436368,7521656,5290804,7955408,10040184,7819142,8438736,10523824,8292899,70642,2018-07-01 08:27:42,761.565,28263672,7259088,9344464,7111949,10847184,12932008,6581343,5784528,7869392,5647944,5436368,7521656,5291184,7955408,10040184,7819135,8438736,10523824,8292878
70644,2018-07-01 08:45:45,289.795,281866936,12088272,14173648,11939562,15381456,17466280,11113885,9585616,11670480,9449064,8098768,10184056,7951704,13202384,15287160,13065407,14099408,16184496,13952442,70645,2018-07-01 08:55:17,291.288,281866936,12088272,14173648,11939567,15381456,17466280,11113741,9585616,11670480,9448861,8098768,10184056,7952884,13202384,15287160,13065407,14099408,16184496,13952442
70647,2018-07-01 09:17:24,296.731,23317520,5759952,7845328,5611663,9769936,11854760,5505918,4735952,6820816,4600510,3965904,6051192,3818620,6329296,8414072,6192549,6783952,8869040,6635719,70648,2018-07-01 09:26:13,301.908,23317520,5759952,7845328,5611662,9769936,11854760,5505721,4740048,6824912,4601676,3961808,6047096,3816944,6329296,8414072,6192548,6783952,8869040,6635719
70650,2018-07-01 09:41:06,204.658,59878344,10346448,12434248,10146028,14487504,16574752,10168190,8138704,10225984,7946636,6430672,8518384,6229692,11931600,14018792,11743971,13066192,15153704,12865899,70651,2018-07-01 09:48:52,208.018,59878344,10346448,12434248,10146025,14487504,16574752,10168151,8146896,10234176,7954216,6426576,8514288,6226640,11931600,14018792,11743971,13066192,15153704,12864714
70653,2018-07-01 10:10:51,250.435,21897032,4772816,6858192,4626548,8713168,10797992,4448158,3871696,5956560,3732370,3077072,5162360,2929848,5219280,7304056,5085492,5592016,7677104,5443353,70654,2018-07-01 10:18:35,250.084,21897032,4772816,6858192,4626548,8713168,10797992,4448068,3867600,5952464,3731228,3077072,5162360,2929200,5219280,7304056,5085494,5592016,7677104,5443353
70656,2018-07-01 10:33:12,266.342,41499920,7910352,9996968,7710677,11973584,14059648,7656085,6382544,8468640,6193484,5948368,8034896,5750428,8893392,10979400,8706433,9585616,11671944,9383407,70657,2018-07-01 10:41:25,266.501,41499920,7910352,9996968,7710677,11973584,14059648,7655983,6378448,8464544,6188711,5948368,8034896,5748008,8893392,10979400,8706433,9585616,11671944,9383407
70659,2018-07-01 11:07:55,569.711,37710296,9068816,11157392,8900335,12648720,14736744,8361511,7209232,9297288,7053047,6197520,8286000,6030664,9990416,12078384,9834481,10682640,12770928,10515624,70660,2018-07-01 11:22:33,567.096,37710296,9068816,11157392,8900332,12648720,14736744,8361456,7209232,9297288,7052573,6197520,8286000,6029208,9990416,12078384,9834480,10682640,12770928,10515622
70662,2018-07-01 11:47:55,343.456,35964488,9777104,11863160,9631188,13873104,15958608,9610739,7749584,9835120,7615997,6848464,8934432,6706320,10870736,12956184,10737793,11784144,13869912,11638265,70663,2018-07-01 11:57:52,341.948,35964488,9777104,11863160,9630751,13873104,15958608,9610538,7749584,9835120,7615604,6848464,8934432,6707268,10870736,12956184,10737819,11784144,13869912,11638286
70665,2018-07-01 12:18:49,550.28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70666,2018-07-01 12:29:57,495.494,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
70668,2018-07-01 13:01:55,474.309,60663376,14574032,16659920,14426272,18112976,20198312,13849182,11784656,13870032,11649918,11166160,13251960,11019972,15892944,17978232,15757376,16855504,18941104,16710075,70669,2018-07-01 13:15:03,469.213,60663376,14574032,16659920,14426269,18112976,20198312,13849168,11784656,13870032,11649221,11157968,13243768,11013392,15892944,17978232,15757376,16855504,18941104,16710075
70671,2018-07-01 13:38:43,500.729,97490960,9647376,11734576,9481964,13493520,15580168,9210271,7861520,9948200,7706538,6391056,8478168,6227624,10593552,12680144,10441221,11355408,13442320,11187380,70672,2018-07-01 13:51:28,499.241,97490960,9647376,11734576,9481965,13493520,15580168,9210127,7861520,9948200,7704906,6395152,8482264,6230304,10593552,12680144,10441221,11355408,13442320,11187380
70674,2018-07-01 14:07:52,242.933,61647192,10686928,12774216,10485238,14836176,16922912,10516879,8344016,10430784,8154404,7266768,9353968,7066836,12505552,14592232,12317786,13754832,15841832,13555426,70675,2018-07-01 14:16:19,240.524,61647192,10686928,12774216,10486036,14836176,16922912,10516920,8344016,10430784,8151871,7262672,9349872,7064212,12505552,14592232,12317683,13754832,15841832,13555284
70677,2018-07-01 14:34:24,335.987,21985624,5293008,7378040,5146571,9245648,11330128,4980501,4281296,6365808,4146440,4039632,6124576,3894840,5813200,7897624,5678507,6190032,8274776,6045853,70678,2018-07-01 14:44:02,335.931,21985624,5293008,7378040,5146577,9245648,11330128,4980411,4281296,6365808,4147860,4039632,6124576,3893904,5813200,7897624,5678509,6190032,8274776,6045851
70680,2018-07-01 15:05:10,313.811,38380760,11228624,13313496,11080471,14931408,17015720,10664206,9074128,11158480,8935205,8345040,10429816,8198508,12297680,14381944,12162686,13088208,15172784,12940487,70681,2018-07-01 15:15:05,316.632,38380760,11228624,13313496,11080471,14931408,17015720,10664187,9070032,11154384,8933360,8349136,10433912,8201884,12297680,14381944,12162678,13088208,15172784,12940480
70683,2018-07-01 15:35:48,569.006,74691352,8889296,10974328,8743801,12874704,14959184,8611996,7087056,9171568,6952113,6222800,8307744,6079196,9847760,11932184,9712443,10654672,12739416,10509784,70684,2018-07-01 15:49:48,568.343,74687888,8889296,10974328,8743154,12878800,14963280,8612536,7087056,9171568,6951130,6226896,8311840,6081520,9847760,11932184,9711928,10654672,12739416,10508659
70686,2018-07-01 16:12:22,449.384,58677128,5284304,7370200,5136907,9200080,11285416,4934130,4334032,6419408,4199474,4116944,6202744,3972248,5759440,7844728,5626032,6099408,8185008,5952433,70687,2018-07-01 16:23:26,445.333,58677128,5284304,7370200,5136908,9200080,11285416,4934177,4338128,6423504,4199817,4116944,6202744,3971676,5759440,7844728,5626032,6099408,8185008,5952433
70689,2018-07-01 16:40:06,392.19,33394208,7362000,9446864,7215211,11163088,13247400,6896153,6125008,8209360,5987099,5027280,7112056,4879244,7984592,10068856,7850454,8504784,10589360,8355337,70690,2018-07-01 16:50:36,393.213,33394208,7362000,9446864,7215204,11163088,13247400,6896004,6125008,8209360,5986651,5027280,7112056,4879080,7984592,10068856,7850453,8504784,10589360,8355336
70692,2018-07-01 17:18:37,791.022,36425736,9996048,12083080,9826383,13428496,15514984,9140148,8009488,10096008,7852065,6899472,8986416,6730224,10938128,13024560,10782126,11683600,13770352,11513438,70693,2018-07-01 17:36:25,794.335,36425736,9996048,12083080,9826384,13428496,15514984,9140134,8009488,10096008,7851554,6895376,8982320,6727524,10938128,13024560,10782100,11683600,13770352,11513381
70695,2018-07-01 17:56:45,167.917,35210520,7599568,9684432,7451883,11204048,13288360,6939457,6075856,8160208,5939023,5314000,7398776,5167484,8328656,10412920,8191597,8857040,10941616,8711407,70696,2018-07-01 18:03:42,171.176,35210520,7599568,9684432,7451865,11204048,13288360,6939461,6075856,8160208,5939016,5314000,7398776,5166332,8328656,10412920,8191592,8857040,10941616,8711403
70698,2018-07-01 18:21:10,308.337,32069416,7652304,9737680,7502724,11686864,13771688,7422233,6079440,8164304,5942099,5907408,7992696,5760772,8504272,10589048,8370530,9233360,11318448,9084260,70699,2018-07-01 18:31:05,308.873,32069416,7652304,9737680,7502768,11686864,13771688,7422616,6083536,8168400,5946079,5907408,7992696,5761856,8504272,10589048,8370572,9233360,11318448,9084299
70701,2018-07-01 18:46:55,295.78,32993296,10773968,12858832,10626611,14501328,16585640,10234972,8787408,10871760,8649806,7124432,9209208,6979000,11720144,13804408,11584869,12436944,14521520,12289115,70702,2018-07-01 18:55:51,294.642,32993296,10773968,12858832,10626607,14501328,16585640,10234972,8787408,10871760,8649280,7124432,9209208,6977596,11720144,13804408,11584868,12436944,14521520,12289115
70704,2018-07-01 19:16:19,459.071,88381808,23717328,25801848,23569529,26117584,28201552,21854504,18802128,20886128,18664738,17192400,19276832,17047496,25826768,27910680,25694077,27440592,29524824,27294618,70705,2018-07-01 19:30:05,455.685,88377800,23721424,25805944,23573213,26125776,28209744,21861907,18802128,20886128,18668025,17192400,19276832,17047908,25834960,27918872,25699037,27448784,29533016,27299976
70707,2018-07-01 19:47:19,323.387,117018256,9900496,11986040,9754818,13820368,15905360,9556219,8049104,10134128,7915099,7459280,9544736,7315332,10883536,12968472,10752094,11620816,13706072,11476797,70708,2018-07-01 19:57:11,322.47,117018904,9904592,11990136,9757450,13820368,15905360,9555778,8053200,10138224,7917013,7459280,9544736,7315504,10887632,12972568,10753552,11624912,13710168,11478344
